n,r,m
"(:Release:Release_depend {id: org.infinispan:infinispan-jcache-parent:8.2.3.Final,artifact_id: org.infinispan:infinispan-jcache-parent,version: 8.2.3.Final,timestamp: 1468007933000})","[:dependency {scope: compile,targetVersion: 2.5}]","(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: org.finra.herd:herd-docs-javadoc:0.155.0,artifact_id: org.finra.herd:herd-docs-javadoc,version: 0.155.0,timestamp: 1633026792000})","[:dependency {scope: compile,targetVersion: 2.14.1}]","(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: org.finra.herd:herd-docs-javadoc:0.155.0,artifact_id: org.finra.herd:herd-docs-javadoc,version: 0.155.0,timestamp: 1633026792000})",[:dependency_to_log4j],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: org.finra.herd:herd-docs-javadoc:0.155.0,artifact_id: org.finra.herd:herd-docs-javadoc,version: 0.155.0,timestamp: 1633026792000})",[:dependency_to_log4j {targetVersion: 2.14.1}],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: org.finra.herd:herd-docs-javadoc:0.155.0,artifact_id: org.finra.herd:herd-docs-javadoc,version: 0.155.0,timestamp: 1633026792000})","[:dependency_to_log4j_SemVer {targetVersion: 2.14.1,timestamp: 1615093951000}]","(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: io.github.congcoi123:tenio-engine:0.5.0,artifact_id: io.github.congcoi123:tenio-engine,version: 0.5.0,timestamp: 1693428431000})","[:dependency_to_log4j_SemVer {targetVersion: 2.20.0,timestamp: 1676697665000}]","(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: io.github.congcoi123:tenio-engine:0.5.0,artifact_id: io.github.congcoi123:tenio-engine,version: 0.5.0,timestamp: 1693428431000})",[:dependency_to_log4j {targetVersion: 2.20.0}],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: io.github.congcoi123:tenio-engine:0.5.0,artifact_id: io.github.congcoi123:tenio-engine,version: 0.5.0,timestamp: 1693428431000})",[:dependency_to_log4j],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: io.github.congcoi123:tenio-engine:0.5.0,artifact_id: io.github.congcoi123:tenio-engine,version: 0.5.0,timestamp: 1693428431000})","[:dependency {scope: compile,targetVersion: 2.20.0}]","(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: org.apereo.cas:cas-server-support-configuration-cloud-dynamodb:6.0.0,artifact_id: org.apereo.cas:cas-server-support-configuration-cloud-dynamodb,version: 6.0.0,timestamp: 1546044529000})","[:dependency {scope: test,targetVersion: 2.11.1}]","(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
"(:Release:Release_depend:Release_depend_SemVer {id: org.apereo.cas:cas-server-support-configuration-cloud-dynamodb:6.0.0,artifact_id: org.apereo.cas:cas-server-support-configuration-cloud-dynamodb,version: 6.0.0,timestamp: 1546044529000})",[:dependency_to_log4j],"(:Artifact:Artifact_log4j {found: true,id: org.apache.logging.log4j:log4j-core})"
